Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100%_Completed	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
London 2012: The Official Video Game of the Olympic Games	71420	Casual, Racing, Simulation, Sports	NA	0	NA	NA	NA	NA	NA	SEGA Studios Australia	SEGA	28-Jun-2012	X	OS:Windows Vista SP2+ Processor:2.8 GHz Dual Core Memory:2 GB RAM Graphics:ATI 2600 \/ NVIDIA 8600 DirectX®:dx10 Hard Drive:10 GB HD space Other Requirements:Broadband Internet connection Additional:IMPORTANT: THIS GAME IS OPTIMISED \/ RECOMMENDED FOR GAMEPAD  	OS:Windows 7 Processor:2.4 GHz Quad Core Memory:4 GB RAM Graphics:ATI 4850 \/ NVIDIA 8800 DirectX®:dx11 Hard Drive:10 GB HD space Other Requirements:Broadband Internet connection Additional:IMPORTANT: THIS GAME IS OPTIMISED \/ RECOMMENDED FOR GAMEPAD 
Lone Survivor: The Director's Cut	209830	Action, Adventure, Indie, RPG, Simulation	Horror, Indie, Survival Horror, Pixel Graphics, Adventure, Atmospheric, 2D, RPG, Action, Psychological Horror, Great Soundtrack, Dark, Singleplayer, Zombies, Simulation, Retro, Survival, Side Scroller, Exploration, Difficult	1270	85.9	NA	4	10	NA	Jasper Byrne	Superflat Games	23-Apr-2012	NA	OS: Windows XP Processor: Core2Duo Memory: 2 GB RAM Graphics: Any with hardware 3D acceleration DirectX®: DirectX 7.0 Hard Drive: 250 MB HD space Sound: Soundblaster \/ equivalent 	OS: Windows 7 Processor: Core2Duo or above Memory: 4 GB RAM Graphics: Nvidia 7900 \/ equivalent DirectX®: DirectX 7.0 Hard Drive: 300 MB HD space Sound: Soundblaster \/ equivalent
Loop Hero	1282730	Indie, RPG, Strategy	Tactical, Deckbuilding, Rogue-like, Choices Matter, Pixel Graphics, Indie, Rogue-lite, Card Game, Resource Management, Strategy RPG, 2D, Dark Fantasy, Old School, Story Rich, Fantasy, RPG, Time Management, Turn-Based Tactics, Minimalist, Adventure	30410	93.4	NA	29	55	NA	Four Quarters	Devolver Digital	04-Mar-2021	NA	OS: Windows 7, 8.1, 10 x64Processor: Intel Core2 Duo E4500 (2 * 2200) or equivalent, AMD Athlon 64 X2 Dual Core 3600+ (2 * 1910) or equivalentMemory: 2 GB RAMGraphics: GeForce 7300 GT (512 MB), Radeon X1300 Pro (256 MB)Storage: 300 MB available space 	OS: Windows 7, 8.1, 10 x64Processor: Intel Core2 Duo E6750 (2 * 2660) or equivalent, AMD Athlon 64 X2 Dual Core 5000+ (2 * 2600) or equivalentMemory: 2 GB RAMGraphics: GeForce 8600 GT (512 MB),  Radeon HD 4650 (1024 MB)Storage: 300 MB available space
Lords of Ravage - Сhapter 1	2093280		NA	0	NA	NA	NA	NA	NA			08-Sep-2022	X	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core I3 or AMD Ryzen 3Memory: 2 GB RAMGraphics: NVidia GTX 1050 or Radeon RX 580Storage: 5 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel Core I5 or AMD Ryzen 5Memory: 8 GB RAMGraphics: NVidia GTX 1070 or RX Vega 56Storage: 5 GB available space
Lost Chronicles of Zerzura	308330	Adventure	Adventure, Point & Click, Puzzle	108	87	NA	9	22	NA	Cranberry Production	Viva Media	10-Jul-2014	NA	OS: Windows® XP, Windows Vista®, Windows® 7, Windows® 8Processor: 1.0 GHz Processor or fasterMemory: 512 MB RAMGraphics: AGP\/PCI-E Graphics card with : Shader Model 2, DirectX®9 compatible, - min. 128MB VRAM (ATI Radeon 9800 or NVidia GeForce 6800) \/  Integrated (onboard)-graphics: Graphics with Shader Model 2,  DirectX®9-compatible, min. 128 MB VRAM  (Intel GMA x4500, ATI Mobility Radeon 9800 or NVIDIA GeForce Go 9800)DirectX: Version 9.0cStorage: 4 GB available spaceSound Card: DirectX® compatible sound card	NA
Lost in Random™	1462570	Action, Adventure, Indie	Adventure, Action, Action-Adventure, Gothic, Exploration, Indie, Singleplayer, Comedy, Fantasy, Deckbuilding, Combat, Action RPG, Story Rich, Real-Time with Pause, Female Protagonist, Third Person, Soundtrack, Atmospheric, Dark Fantasy	2081	90	NA	13	17	NA	Zoink, Thunderful	Electronic Arts	10-Sep-2021	NA	Requires a 64-bit processor and operating systemOS: Windows 10Processor: AMD FX 6100, Intel i3 6300Memory: 8 GB RAMGraphics: Radeon R9 270X ,  Nvidia GTX 750DirectX: Version 12Network: Broadband Internet connectionStorage: 20 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 10Processor: Intel i7 7700K ,  AMD Ryzen 7 2700XMemory: 16 GB RAMGraphics: Radeon RX Vega 56,  Nvidia GTX 1070DirectX: Version 12Network: Broadband Internet connectionStorage: 20 GB available space
Lost Legends: The Weeping Woman Collector's Edition	397440	Adventure, Casual	Casual, Adventure, Hidden Object, Point & Click, Puzzle, 2D, Colorful, Relaxing, Investigation, Lore-Rich, Mystery, Female Protagonist, Conversation, Story Rich, Singleplayer	75	80	NA	2	3	NA	Gunnar Games	Gunnar Games	21-Oct-2015	NA	OS: Windows Vista®, Windows® 7, Windows® 8Processor: Pentium processor (or equivalent AMD® processor) 1.2 GHz or fasterMemory: 256 MB RAMGraphics: DirectX® compatible video cardDirectX: Version 9.0cStorage: 800 MB available spaceSound Card: DirectX 9.0 compatible sound card	NA
Lost Planet 2	45750	Action, Adventure	Action, Co-op, Adventure, Third-Person Shooter, Mechs, Sci-fi, Multiplayer, Third Person, Online Co-Op, Cult Classic, Shooter, Character Customization, Singleplayer, Aliens, Co-op Campaign	2526	67.5	NA	10	26	NA	CAPCOM CO., LTD.	Capcom	NA	X	NA	NA
Lost Planet: Extreme Condition	6510	Action, Adventure	Action, Adventure, Mechs, Third-Person Shooter, Sci-fi, Shooter, Third Person, Robots, Multiplayer, Atmospheric, Co-op, Singleplayer, Aliens, Snow, Classic	1486	80.8	NA	8	17	NA	CAPCOM Co., Ltd.	Capcom	26-Jun-2007	NA	 Windows® XP, Intel® Pentium® 4 supporting HT technology or AMD Athlon™ 64 3500+ or greater, 512 MB RAM (Windows XP) \/ 1 GB RAM (Windows Vista), 8.0 GB free disk space, 640x480 minimum resolution, 256 MB VRAM, DirectX®9.0c \/ Shader3.0*, NVIDIA® GeForce® 6600 or greater**, DirectSound compatible. DirectX®9.0c, Mouse, Keyboard, Broadband connection (Internet connection required to play.)	 Windows Vista™, Intel® Core™2 Duo, 1 GB RAM (Windows XP) \/ 2 GB RAM (Windows Vista), 1280x720 or higher resolution, 256 MB VRAM, NVIDIA® GeForce® 8600 or greater, Gamepad, Xbox 360™ Controller for Windows® * Operation not assured if VRAM is shared with Main Memory.** NVIDIA® GeForce® 7300 is not supported.
Lost Planet: Extreme Condition - Colonies Edition	45720	Action, Adventure	Action, Adventure, Third-Person Shooter, Mechs, Singleplayer	371	63.9	NA	NA	NA	NA	CAPCOM CO., LTD.	Capcom	11-Feb-2010	X	OS: Windows XP or Vista Processor: Intel(R) Pentium(R) 4 processor supporting HT Technology or higher, or AMD Athlon(TM) 64 or higher Memory: 512 MB (Windows XP), 1 GB (Windows Vista) Graphics: DirectX 9.0c\/Shader3.0 compatible, VRAM256MB, NVIDIA GeForce 6600 series or higher, or ATI Radeon(TM) X1600 or higher (excluding NVIDIA GeForce 7300 series) DirectX®: DirectX 9.0c Hard Drive: 8.0 GB  Sound: DirectX 9.0c compatible sound card	NA
