Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time (h)	Time_to_finish (h)	Time_to_complete (h)	100%_Completed	Developer	Publisher	Release_date	Removed_game	Minimum_requirements	Recommended_requirements
Geometry Dash	322170	Action, Indie	Difficult, Music, Great Soundtrack, Precision Platformer, Level Editor, Rhythm, 2D, Colorful, Singleplayer, Platformer, Character Customization, Arcade, Indie, Side Scroller, Action, Funny, Family Friendly, Casual, Strategy, Adventure	225359	93.5	3.1	16	1111	NA	RobTop Games	RobTop Games	22-Dec-2014	NA	OS: Windows XPProcessor: 2.0+ GHzMemory: 512 MB RAMGraphics: OpenGL 2.0 supportStorage: 100 MB available space	NA
Stories: The Path of Destinies	439190	Action, Adventure, Indie, RPG	Adventure, RPG, Action, Indie, Choices Matter, Fantasy, Dynamic Narration, Hack and Slash, Action RPG, Singleplayer, Multiple Endings, Colorful, Swordplay, Great Soundtrack, Story Rich, Isometric, Funny, Narration, Comedy, Action-Adventure	6262	88.3	3.1	5	20	NA	Spearhead Games	Spearhead Games	12-Apr-2016	NA	OS: 64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10Processor: Intel CPU Core i3-2500K 2.0GHz+ \/ AMD CPU Phenom II 570Memory: 4 GB RAMGraphics: GeForce 8800 GTX, GT640, GT730, Radeon HD 5850, HD Graphics 530DirectX: Version 10Storage: 2 GB available spaceSound Card: Stereo 	OS: 64-bit Windows 7, 64-bit Windows 8 (8.1) or 64-bit Windows 10Processor: Intel CPU Core i5 3770 3.4 GHz \/ AMD CPU Phenom II X4 940Memory: 8 GB RAMGraphics: GeForce GTX 770,  GPU Radeon HD 7870DirectX: Version 11Storage: 2 GB available spaceSound Card: Stereo
Hero Quest: Tower Conflict	453820	Action, Casual, Indie, Strategy	Casual, Indie, Strategy, Action	304	28.3	3.1	No time registered yet	No time registered yet	NA	Mihai Morosanu	New Reality Games	13-Apr-2016	NA	OS: Windows 7Processor: Intel Pentium 2GzMemory: 512 MB RAMGraphics: 1024 x 768 Desktop ResolutionStorage: 20 MB available spaceSound Card: Stereo Sound	NA
Space Pilgrim Episode I: Alpha Centauri	429470	Adventure, Indie	Adventure, RPGMaker, Sci-fi, Space, Indie, Female Protagonist, Story Rich, Casual, Comedy, Point & Click, 2D, Singleplayer, Atmospheric, Pixel Graphics, Episodic, RPG, Isometric, Colorful, Short, JRPG	1172	87.9	3.1	1	2	NA	Pilgrim Adventures, GrabTheGames Studios	GrabTheGames, TheGamesFortress	21-Dec-2015	NA	OS: Windows 98\/XP\/Vista\/7\/8\/10Processor: Intel Pentium III 800 MhzMemory: 512 MB RAMGraphics: 1024x768 or better video resolution in High Color modeStorage: 250 MB available spaceSound Card: DirectSound-compatible sound card	NA
Shadow Warrior Classic Redux	225160	Action	FPS, Classic, Action, Retro, Shooter, Old School, Comedy, Ninja, Gore, Singleplayer, First-Person, Funny, 1990's, Nudity, Remake, Violent, Dark Humor, Adventure, Difficult, Pixel Graphics	3011	90.6	3.1	9	15	NA	General Arcade	Devolver Digital	08-Jul-2013	NA	OS:Windows XP, Vista, or 7 Processor:1.5 GHz Processor Memory:512 MB RAM Graphics:OpenGL compatible graphics card with at least 256M DirectX®:7.0 Hard Drive:650 MBHD space Additional:OpenGL compatible graphics drivers. 	OS:Windows XP, Vista, or 7 Processor:1.8 GHz Processor Memory:1 GB RAM Graphics:OpenGL compatible graphics card with at least 256M DirectX®:9.0 Hard Drive:650 MB HD space Additional:OpenGL compatible graphics drivers.
LIMBO	48000	Action, Adventure, Indie	Puzzle-Platformer, Indie, Puzzle, Platformer, Dark, Atmospheric, Adventure, 2D, Singleplayer, Horror, Surreal, Short, Side Scroller, Difficult, Minimalist, Physics, Action, Cinematic, Casual, Controller	44511	93.5	3.1	4	6	NA	Playdead	Playdead	02-Aug-2011	NA	OS: Windows XP, Vista, 7 Processor: 2 GHz Memory: 512MB Hard Disk Space: 150MB Video Card: 5 years or younger. Integrated graphics and very low budget cards may not work. Shader Model 3.0 required DirectX®: 9.0c	NA
Koi-Koi Japan [Hanafuda playing cards]	364930	Casual	Casual, Card Game, Competitive, Anime, PvP, Multiplayer, Singleplayer, Strategy, Cute, 2D, Relaxing, Turn-Based Strategy, Cartoon, Colorful, Old School, Board Game, Puzzle, Tabletop, 2D Platformer, Card Battler	1086	93	3.1	8	35	NA	Zoo Corporation	Zoo Corporation	27-Apr-2015	NA	OS: Windows 8.1\/10Processor: 2GhzMemory: 2 GB RAMGraphics: DirectX compatible cardDirectX: Version 11Network: Broadband Internet connectionStorage: 500 MB available spaceSound Card: DirectX-compatible sound	NA
THOTH	510620	Action, Indie	Action, Indie, Minimalist, Twin Stick Shooter, Difficult, Local Co-Op	431	84	3.1	2	16	NA	Carlsen Games	Double Fine Presents	07-Oct-2016	NA	OS: Windows 7\/8Processor: 2.0 GHz or fasterMemory: 2 GB RAMDirectX: Version 11Storage: 300 MB available space	NA
Gnomoria	224500	Indie, Simulation, Strategy	Colony Sim, Sandbox, City Builder, Strategy, Simulation, Indie, Building, Survival, Crafting, Singleplayer, Isometric, Fantasy, Resource Management, Management, Pixel Graphics, Base-Building, RTS, 2D, Addictive, Early Access	3469	76.7	3.1	No time registered yet	No time registered yet	NA	Robotronic Games	Robotronic Games	23-Feb-2016	NA	OS:Windows XP, Vista or Windows 7 Processor:2.0 Ghz Memory:1 GB RAM DirectX®:9.0c Hard Drive:200 MB HD space	NA
Absolute Drift	320140	Action, Casual, Indie, Racing, Simulation, Sports	Racing, Open World, Driving, Difficult, Physics, Automobile Sim, Arcade, Top-Down, Relaxing, Surreal, Simulation, Minimalist, Abstract, Score Attack, Singleplayer, Action, Controller, Electronic Music, Casual, Fast-Paced	2756	88.4	3.1	3	9	NA	Funselektor Labs Inc., FlippFly	Funselektor Labs Inc.	29-Jul-2015	NA	Requires a 64-bit processor and operating systemOS: Windows XP \/ Vista \/ 7 \/ 8 \/ 10 (64-bit Systems Only)Processor: 2.2GHz Dual CoreMemory: 2 GB RAMGraphics: 512 MB RAMStorage: 350 MB available spaceAdditional Notes: Best played with controller. 	Requires a 64-bit processor and operating system
LEAVES - The Journey	569800	Adventure, Indie	Adventure, Indie, Puzzle, Point & Click, Surreal, Singleplayer	516	80.4	3.1	4	4	NA	ZAR 21	Daedalic Entertainment	07-Mar-2017	NA	OS: Windows XP SP2 or betterProcessor: 2Ghz Pentium T4200Memory: 1 GB RAMGraphics: DX9c compatibleDirectX: Version 9.0cStorage: 500 MB available space	NA
Sid Meier's Ace Patrol: Pacific Skies	244090	Casual, Strategy	Strategy, Casual, Turn-Based, Turn-Based Strategy, World War II, Singleplayer, Historical	391	61.9	3.1	3	0	NA	Firaxis Games	2K	05-Nov-2013	NA	OS: Windows 7 or laterProcessor: 1.8 Core 2 Duo or AMD Athlon 64 X2 Dual Core 3600+Memory: 1 GB RAMGraphics: 256MB Video Card w\/ OpenGL capabilities (Intel HD4000+, GeForce 7600+, GeForce 100+, Radeon HD2000+)Storage: 300 MB available spaceSound Card: Audio output capability  DirectX®: OpenGL	NA
Killing Floor 2	232090	Action	Zombies, Co-op, Gore, FPS, Multiplayer, Survival, Action, Online Co-Op, Horror, Shooter, First-Person, Team-Based, Survival Horror, Great Soundtrack, Atmospheric, Difficult, Singleplayer, Early Access, Indie, Blood	113055	87.7	3.1	14	98	NA	Tripwire Interactive	Tripwire Interactive	18-Nov-2016	NA	Requires a 64-bit processor and operating systemOS: Win7 64-bit, Win8\/8.1 64-bitProcessor: Core 2 Duo E8200 2.66GHz or Phenom II X2 545Memory: 3 GB RAMGraphics: GeForce GTS 250 or Radeon HD 4830DirectX: Version 10Network: Broadband Internet connectionStorage: 80 GB available spaceAdditional Notes: UNSUPPORTED HARDWARE: IntelHD Integrated Graphics Chips, 32-bit Operating Systems, NVIDIA ® FleX features require a GeForce ® GTX™ 770  or higher (GeForce ® GTX™ 980 recommended) 	Requires a 64-bit processor and operating systemOS: Windows 10 64-bitProcessor: Core 2 Quad Q9550 2.83GHz or Phenom II X4 955Memory: 4 GB RAMGraphics: GeForce GTX 560 or Radeon HD 6950DirectX: Version 11Network: Broadband Internet connectionStorage: 100 GB available spaceAdditional Notes: NVIDIA ® FleX features require a GeForce ® GTX™ 770  or higher (GeForce ® GTX™ 980 recommended)
Candle	420060	Adventure, Indie	Indie, Adventure, Hand-drawn, Puzzle, Puzzle-Platformer, Great Soundtrack, Fantasy, 2D, Platformer, Point & Click, Singleplayer, Atmospheric	985	78.5	3.1	8	9	NA	Teku Studios	Daedalic Entertainment	11-Nov-2016	NA	OS: Windows 7 SP1, Windows 8 (32\/64 bit versions)Processor: 2.8 GHz Dual Core CPUMemory: 4 GB RAMGraphics: Nvidia GeForce GT 220, Radeon HD 8400DirectX: Version 9.0cStorage: 12 GB available spaceSound Card: DirectX 9.0c Compatible Sound Card with Latest DriversAdditional Notes: Shader Model 3.0 must be supported 	OS: Windows 7 SP1, Windows 8, Windows 10 (64 bit versions)Processor: 3.6 GHz Dual Core CPUMemory: 8 GB RAMGraphics: AMD Radeon HD 6670, GeForce GTX 260 or betterDirectX: Version 9.0cStorage: 12 GB available spaceSound Card: DirectX 9.0c Compatible Sound Card with Latest DriversAdditional Notes: Shader Model 3.0 must be supported
LEAVES - The Return	569810	Adventure, Indie	Adventure, Indie, Puzzle, Point & Click	274	86.5	3.1	3	4	NA	ZAR 21	Daedalic Entertainment	14-Mar-2017	NA	OS: Windows XP SP2 or betterProcessor: 2Ghz Pentium T4200Memory: 1 GB RAMDirectX: Version 9.0cStorage: 500 MB available space	NA
Ryse: Son of Rome	302510	Action	Hack and Slash, Action, Quick-Time Events, Rome, Historical, Third Person, Singleplayer, Adventure, Linear, Gore, War, Atmospheric, RPG, Nudity, Open World, Multiplayer, Co-op, Benchmark, Short, Fantasy	33376	86.1	3.1	6	19	NA	Crytek	Crytek 	10-Oct-2014	NA	OS: Windows® Vista 64-bit \/ Windows® 7 64-bit \/ Windows® 8 64-bitProcessor: Dual core with HyperThreading technology or quad core CPU (4+ logical processors)Memory: 4 GB RAMGraphics: DirectX 11 graphics card with 1 GB video RAMDirectX: Version 11Storage: 26 GB available spaceSound Card: DirectX compatible Sound Card with latest drivers 	OS: Windows® Vista 64-bit \/ Windows® 7 64-bit \/ Windows® 8 64-bitProcessor: Quad Core or Six Core CPU (6+ logical processors)Memory: 8 GB RAMGraphics: DirectX 11 graphics card with 2 GB video RAMDirectX: Version 11Storage: 26 GB available spaceSound Card: DirectX compatible Sound Card with latest drivers
Hurtworld	393420	Action, Adventure, Simulation	Survival, FPS, Open World, Multiplayer, Open World Survival Craft, Crafting, Building, PvP, Adventure, Sandbox, Action, Early Access, Co-op, First-Person, Shooter, Simulation, Third Person, Singleplayer, Indie, Cartoony	30994	76.3	3.1	0	100	NA	Bankroll Studios	Bankroll Studios	10-Dec-2019	NA	Requires a 64-bit processor and operating systemOS: Windows XP 64Processor: 2 GHzMemory: 4 GB RAMGraphics: GeForce 460\/Radeon HD 5850\/Intel HD 4600 with at least 1024 MB video RAMDirectX: Version 9.0cStorage: 2 GB available space 	Requires a 64-bit processor and operating systemOS: Windows 7 64Processor: 3 GHzMemory: 8 GB RAMGraphics: GeForce 660\/Radeon HD 6970DirectX: Version 11Network: Broadband Internet connectionStorage: 4 GB available space
Orbital Gear	298520	Action, Indie, Simulation	Action, Indie, Mechs, Multiplayer, Simulation, Shooter, Arena Shooter, Sci-fi, Side Scroller, Fast-Paced, Space, 4 Player Local, 2D, Great Soundtrack, PvP, Platformer, Singleplayer, Robots, 2.5D, Local Multiplayer	1768	83	3.1	0	11	NA	Night Node	Night Node	07-Aug-2014	NA	OS: Windows VistaProcessor: Dual Core ProcessorMemory: 2048 MB RAMGraphics: NVidia GeForce 8800GTDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 500 MB available space	NA
[Old Edition] Croixleur Sigma	250640	Action, Casual, Indie	Anime, Action, Hack and Slash, Indie, Female Protagonist, Casual, Great Soundtrack, Fighting, Beat 'em up, Cute	334	79.6	3	1	18	NA	souvenir circ.	PLAYISM	30-Apr-2014	X	OS: Windows 7, 10Processor: Intel Core i5Memory: 4 GB RAMGraphics: GeForce GTX 760DirectX: Version 9.0cStorage: 2 GB available space	NA
The Bug Butcher	350740	Action, Indie	Indie, Action, Shoot 'Em Up, Arcade, Local Co-Op, Co-op, Singleplayer, Bullet Hell, Great Soundtrack, Difficult, Fast-Paced, Sci-fi, Cartoony, 2D, Multiplayer, Platformer, Early Access	1163	90.5	3	2	7	NA	Awfully Nice Studios	Awfully Nice Studios	19-Jan-2016	NA	OS: Windows Vista or LaterProcessor: Intel Core Duo or fasterMemory: 4 GB RAMGraphics: OpenGL 3.0 compliant video cardStorage: 1 GB available spaceSound Card: Standard Sound CardAdditional Notes: Gamepad highly recommended 	Memory: 8 GB RAMNetwork: Broadband Internet connectionStorage: 2 GB available space
Battlepaths	296050	RPG	RPG, Indie, Turn-Based, 2D, Loot	850	69.4	3	9	44	NA	Key17 Games	Digerati	30-May-2014	NA	OS: XPProcessor: 1.6Ghz CPUMemory: 512 MB RAMGraphics: Direct3D supportDirectX: Version 9.0Storage: 175 MB available spaceSound Card: Any	NA
Wuppo - Definitive Edition	400630	Action, Adventure, Indie, RPG	Metroidvania, Platformer, Exploration, 2D, 2D Platformer, Great Soundtrack, Action, Cute, Puzzle, Singleplayer, Funny, Story Rich, Co-op, Score Attack, Colorful, Family Friendly, Difficult, Local Co-Op, Puzzle-Platformer, Hand-drawn	4868	94.8	3	8	16	NA	Knuist &amp; Perzik	SOEDESCO	29-Sep-2016	NA	OS: Windows XP or higherProcessor: 1.2 GHzMemory: 2 GB RAMGraphics: 512mb video memoryDirectX: Version 9.0Storage: 500 MB available space 	OS: Windows 7 or higherProcessor: 2.0 GHzMemory: 4 GB RAMGraphics: 1 GB video memoryDirectX: Version 11Storage: 1 GB available space
THE KING OF FIGHTERS 2002 UNLIMITED MATCH	222440	Action	Fighting, Action, 2D Fighter, Arcade, Classic, Anime, Multiplayer, Great Soundtrack, Local Multiplayer, Pixel Graphics, 2D, Competitive	3518	94.9	3	2	0	NA	SNK CORPORATION, Code Mystics	SNK CORPORATION	27-Feb-2015	NA	OS: Windows 7 (32\/64bit)Processor: Intel Core i5 @ 2.0 GHzMemory: 2 GB RAMGraphics: Nvidia GeForce GTX 560DirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 2 GB available spaceSound Card: DirectSound	NA
Pressure	224220	Action, Casual, Indie, Racing	Racing, Action, Indie, Casual, Arcade, Steampunk, Local Co-Op, Co-op, Multiplayer, Controller, Comedy, Fantasy, Shooter, Funny, Singleplayer, Great Soundtrack, Atmospheric, Crafting, Shoot 'Em Up	1794	80.1	3	3	8	NA	Chasing Carrots	Chasing Carrots	NA	X	NA	NA
Wrath of Anna	458520	Action, Adventure, Indie	Indie, Action, Violent, Gore, Adventure, Steampunk, FPS, Early Access, Sandbox, Survival, Open World, Mechs, Base-Building, Crafting, Multiplayer	232	34.1	3	No time registered yet	No time registered yet	NA	Lorenzo Ent., Michael L. Fiorentino Gutierrez	Lorenzo Ent., Michael L. Fiorentino Gutierrez	02-Apr-2018	NA	Requires a 64-bit processor and operating systemOS: Windows 7 (64 bit)Processor: Intel i3 4160 \/ AMD A-4000 or equivalentMemory: 4 GB RAMGraphics: GeForce GT 720 (2 GB) \/ Radeon r7 250 (2 GB) or equivalentDirectX: Version 10Network: Broadband Internet connectionStorage: 10 GB available spaceSound Card: 5.1 	Requires a 64-bit processor and operating systemOS: Windows 10 (64 bit)Processor: Intel i7 6700k \/ AMD FX8350 or equivalentMemory: 16 GB RAMGraphics: GeForce GTX 970 (4 GB) \/ Radeon r7 370 (4 GB) or betterDirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available spaceSound Card: 5.1
Adventure Time: Finn and Jake Investigations	369300	Adventure	Adventure, Cartoon, Point & Click	104	76	3	9	9	NA	Vicious Cycle Software	Little Orbit	NA	X	NA	NA
Portal	400	Action	Puzzle, Puzzle-Platformer, First-Person, 3D Platformer, Singleplayer, Sci-fi, Comedy, Female Protagonist, Funny, Physics, Action, Story Rich, Classic, Platformer, Science, Atmospheric, FPS, Short, Dark Humor, Adventure	123138	98.5	3	3	10	NA	Valve	Valve	10-Oct-2007	NA	 1.7 GHz Processor, 512MB RAM, DirectX&reg; 8.1 level Graphics Card (Requires support for SSE), Windows&reg; 7 (32\/64-bit)\/Vista\/XP, Mouse, Keyboard, Internet Connection	 Pentium 4 processor (3.0GHz, or better), 1GB RAM, DirectX&reg; 9 level Graphics Card, Windows&reg; 7 (32\/64-bit)\/Vista\/XP, Mouse, Keyboard, Internet Connection
POSTAL	232770	Action, Indie	Horror, Twin Stick Shooter, Top-Down Shooter, Villain Protagonist, Difficult, Shooter, Psychological Horror, Isometric, Dark Humor, Top-Down, Dark Comedy, Surreal, Action, Linear, Hand-drawn, Psychological, Atmospheric, Level Editor, 1990's, Comedy	6391	88	3	3	10	NA	Running With Scissors	Running With Scissors	14-Nov-1997	NA	OS:Windows XP or higher Processor:90mhz processor  Memory:16 MB RAM DirectX®:7.0 Hard Drive:400 MB HD space 	OS:Windows XP or higher Processor:166mhz processor  Memory:32 MB RAM DirectX®:7.0 Hard Drive:400 MB HD space
The Samaritan Paradox	283180	Adventure, Indie	Adventure, Point & Click, Indie, Detective, Puzzle, Mystery, 2D, Drama, Pixel Graphics, Singleplayer, Story Rich	206	72.3	3	6	7	NA	Faravid Interactive	Screen 7	18-Apr-2014	NA	OS: XPMemory: 500 MB RAMDirectX: Version 9.0Storage: 300 MB available space 	OS: XP, Vista, 7, 8Memory: 1 GB RAMDirectX: Version 9.0Storage: 500 MB available space
Stellar 2D	391070	Action, Casual, Indie	Indie, Casual, Action, 2D, Shoot 'Em Up, Space	955	39.6	3	2	5	NA	quad games	Back To Basics Gaming	30-Jul-2015	NA	OS: Microsoft® Windows® XP \/ Vista \/ 7 (32-bit\/64-bit)Processor: 1.6 GHzMemory: 128 MB RAMGraphics: DirectX 9.0 CompatibleStorage: 150 MB available space	NA
Mutiny!!	669050	Indie	Sexual Content, Nudity, Visual Novel, Indie, Female Protagonist, Pirates, Anime, Puzzle, LGBTQ+, NSFW	248	87.9	3	5	17	NA	Lupiesoft	Lupiesoft, MangaGamer	20-Oct-2017	NA	OS: Win XP+Processor: 1GhzMemory: 512 MB RAMGraphics: DirectX or OpenGL compatibleDirectX: Version 9.0cStorage: 850 MB available space	NA
Onikira: Demon Killer	310850	Action, Adventure, Indie	Action, Adventure, Indie, Platformer, 2D, Beat 'em up, Hack and Slash, Side Scroller, Singleplayer	354	39.3	3	4	0	NA	Digital Furnace Games	Headup Games	27-Aug-2015	NA	OS: Windows Vista SP2\/ Windows 7Processor: Intel Core 2 Duo 1.8GHz or AMD Athlon X2 64 2GHzMemory: 2 GB RAMGraphics: 256 MB ATI HD3650, 256 MB nVidia 8800 GT, or Intel HD 3000 integrated graphicsDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: DirectX 9.0c-compatible sound card 	OS: Windows Vista SP2\/ Windows 7\/ Windows 8Processor: 1.8 GHz Quad CoreMemory: 4 GB RAMGraphics: AMD HD5000 series or better, nVidia GT400 series or better, Intel IvyBridge integrated graphics or betterDirectX: Version 11Storage: 4 GB available spaceSound Card: DirectX 9.0c-compatible sound card
Steel Storm: Burning Retribution	96200	Action, Indie	Indie, Action, Shooter, Arcade, Top-Down Shooter, Sci-fi, Singleplayer, Shoot 'Em Up	343	60.9	3	5	10	NA	Kot in Action Creative Artel	Kot in Action Creative Artel	11-May-2011	NA	OS: Windows 7+ Processor: 2.0+ GHz Single Core Processor (Dual-Core Processor recommended) Memory: 1 Gb RAM (2 Gb or greater recommended) Graphics: NVIDIA GeForce 7600GT+ or ATI Radeon 2400+ HD with 256 Mb of VRAM (512 Mb of VRAM recommended).  latest OpenGL video drivers must be installed DirectX®: n\/a Hard Drive: 900Mb  Sound: Windows Supported Sound Card	NA
Out of the Park Baseball 15	272670	Indie, Simulation, Sports	Sports, Simulation, Indie, Management	292	97.3	3	6	0	NA	Out of the Park Developments	Out of the Park Developments	NA	X	NA	NA
Zup! 2	562220	Casual, Indie	Puzzle, Casual, Indie, Fast-Paced, 2D, Physics, Short, Relaxing, Minimalist, Puzzle-Platformer, Point & Click, Singleplayer, Cute, Free to Play, Action, Adventure, Trading Card Game, Horror, Open World, Great Soundtrack	6272	95.6	2.9	1	1	X	Quiet River	Quiet River	05-Dec-2016	NA	OS: Windows XP, 7, Vista, 8, 8.1, 10Processor: Intel Celeron 1800 MHzMemory: 256 MB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0Storage: 15 MB available space 	OS: Windows XP, 7, Vista, 8, 8.1, 10Processor: Intel Core i3Memory: 512 MB RAMGraphics: Intel HD GraphicsDirectX: Version 9.0Storage: 20 MB available space
Polychromatic	384590	Action, Indie	Indie, Action, Twin Stick Shooter, Arena Shooter, Great Soundtrack, Arcade, Colorful	28	96.4	2.9	No time registered yet	No time registered yet	NA	Brushfire Games	Brushfire Games	02-Oct-2015	NA	Memory: 1 GB RAMGraphics: OpenGL 2.1Storage: 50 MB available space	NA
Tower of Guns	266110	Action, Indie	FPS, Action Roguelike, Rogue-like, Indie, Action, Rogue-lite, Bullet Hell, Shooter, First-Person, Singleplayer, Perma Death, Procedural Generation, Fast-Paced, Replay Value, Difficult, Steampunk, Great Soundtrack	1158	80.6	2.9	3	10	NA	Terrible Posture Games	Versus Evil	04-Mar-2014	NA	OS: Windows Vista\/7Processor: 2.4 GHz Intel Core 2 Duo (Dual-Core)Memory: 3 GB RAMGraphics: NVidia Geforce 275 GTX +512mb memoryDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: windows compatible sound cardAdditional Notes: Warning: This game is CPU\/GPU intensive. There are a lot of bullets. It is stable on older Nvidia cards (8800 era), but the framerate made for a sub-optimal experience.	NA
Dead or Alive 5 Last Round	311730	Action	Fighting, Mature, Sexual Content, Female Protagonist, Action, Anime, Multiplayer, Ninja, Arcade, Physics, Free to Play, Singleplayer, Cute, Great Soundtrack, Beat 'em up, Local Multiplayer, 3D, 3D Fighter, Competitive, Moddable	9042	67.1	2.9	4	48	NA	Team NINJA, KOEI TECMO GAMES CO., LTD.	KOEI TECMO GAMES CO., LTD.	30-Mar-2015	NA	OS: Windows® (32bit\/64bit)Processor: Core i7 870 overMemory: 2 GB RAMGraphics: 1280×720 pixel overDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available spaceSound Card: DirectX 9.0c overAdditional Notes:  	OS: Windows® (32bit\/64bit)Processor: Core i7 2600 overMemory: 4 GB RAMGraphics: 1920×1080 pixel  over True Color ※4K CompatibleDirectX: Version 9.0cNetwork: Broadband Internet connectionStorage: 10 GB available spaceSound Card: DirectX 9.0c overAdditional Notes: 
Guns of Icarus Online	209080	Action, Adventure, Indie, Simulation	Steampunk, Team-Based, Multiplayer, Co-op, Action, Tactical, Indie, Competitive, Simulation, Adventure, Flight, FPS, Online Co-Op, Strategy, PvP, First-Person, Shooter, Class-Based, Kickstarter, Massively Multiplayer	14659	90.1	2.9	7	0	NA	Muse Games	Muse Games	29-Oct-2012	NA	OS:Windows 7 Processor:2 GHz processor Memory:2 GB RAM Graphics:Intel HD3000, Nvidia GeForce GT8600 or equivalent DirectX®:dx90c Hard Drive:3 GB HD space Other Requirements:Broadband Internet connection	NA
Football Manager 2014	231670	Simulation, Sports	NA	0	NA	2.9	456	1681	NA	Sports Interactive	SEGA	NA	X	NA	NA
Fall Guys	1097150	Action, Casual, Indie, Massively Multiplayer, Sports	Multiplayer, Party Game, Family Friendly, Battle Royale, Massively Multiplayer, Platformer, Cute, Funny, PvP, 3D Platformer, Controller, Casual, Colorful, Action, Online Co-Op, Co-op, Comedy, Physics, Indie, Difficult	473634	81.3	2.8	9	89	NA	Mediatonic	Midjiwan AB	03-Aug-2020	X	Requires a 64-bit processor and operating systemOS: Windows 10 64bit onlyProcessor: Intel Core i5 or AMD equivalentMemory: 8 GB RAMGraphics: NVIDIA GTX 660 or AMD Radeon HD 7950Network: Broadband Internet connectionStorage: 2 GB available spaceAdditional Notes: Gamepad Recommended 	Requires a 64-bit processor and operating system
I Have No Mouth, and I Must Scream	245390	Adventure	Point & Click, Adventure, Horror, Classic, Retro, Based On A Novel, Story Rich, Cult Classic, Singleplayer, 1990's, Dark, 2D, Psychological Horror, Post-apocalyptic, Surreal, Great Soundtrack, Puzzle, Funny, Cyberpunk, Sci-fi	1470	88.5	2.8	6	8	NA	Cyberdreams	Nightdive Studios	17-Oct-2013	NA	OS: Windows 7 \/ 8.1 \/ 10Processor: IBM PC with a 233Mhz 486 processorMemory: 64 MB RAMGraphics: A VESA compatible Super VGA cardDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: Sound Blaster AWE32 sound card 	OS: Windows 10Processor: IBM PC with a 486 DX2\/ 66Mhz (or faster) processorMemory: 128 MB RAMGraphics: A VESA compatible Super VGA cardDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: Sound Blaster AWE32 sound card
Hatred	341940	Action, Indie	Gore, Violent, Action, Dark, Mature, Shooter, Villain Protagonist, Indie, Isometric, Singleplayer, Twin Stick Shooter, Psychological Horror, Open World, Horror, Top-Down Shooter, Dark Humor, Third-Person Shooter, Survival, Difficult, Dark Fantasy	14047	80.9	2.8	3	8	NA	Destructive Creations	Destructive Creations	01-Jun-2015	NA	OS: Microsoft Windows Vista (SP2) with DirectX 11 update (KB971512-x64), Windows® 7 (Service Pack 1) , Windows 8.1 and Windows 10 - (64-bit only).Processor: 2.6 GHz Intel® Core™ i5-750 or 3.2 GHz AMD Phenom™ II X4 955Memory: 4 GB RAMGraphics: NVIDIA GeForce GTX 460 or AMD Radeon HD5850 (1 GB VRAM)DirectX: Version 11Storage: 5 GB available spaceSound Card: Integrated or dedicated DirectX 11 compatible soundcardAdditional Notes: Hatred will launch only on &quot;64-bit&quot; version of operating system. 	OS: Windows® 7 (Service Pack 1) \/ Windows® 8 \/ Windows® 8.1 \/ Windows® 10 \/ (64-bit only)Processor: AMD Octa-Core \/ Intel Quad-Core processor running at 3.4 GHz (AMD FX X8 8350 or Intel Core i5 3570 or newer architectures are recommended)Memory: 8 GB RAMGraphics: AMD\/NVIDIA dedicated with at least 2048MB of dedicated VRAM and with at least DirectX 11 and Shader Model 5.0 support. AMD Radeon R9 285 and NVIDIA GeForce GTX 670 and above are recommended graphic cards.DirectX: Version 11Storage: 5 GB available spaceSound Card: Integrated or dedicated DirectX 11 compatible soundcardAdditional Notes: Hatred will launch only on &quot;64-bit&quot; version of operating system.
Farnham Fables	463110	Adventure, Casual, Indie	Adventure, Indie, Casual, Nudity, Memes, Point & Click, Visual Novel, Dating Sim, Female Protagonist	367	70.6	2.8	1	0	NA	Ethrea Dreams	Sometimes You	20-Jun-2016	NA	OS: XP (even 98 possibly, but untested)Processor: Any processor will be fineMemory: 32 MB RAMGraphics: Any video card should workStorage: 15 MB available spaceSound Card: Any sound card should work if you want to play the game with soundAdditional Notes: This game will work smooth on almost every PC in the world	NA
